"klevel","ind.bray","ind.flex","ind.flex1","ind.flex3","ind.opt","ind.jac","ind.sim","ind.ward","ind.diana","ind.kmeans","ind.kulc","ind.wardkulc"
2,0.0557262551522652,0.0852002210090773,0.0913157420868993,0.0808535476896095,0.0895845100232234,0.0639552681802755,0.0887693693773756,0.0933271837372207,0.0899447387504805,0.085112760883408,0.0657284716584632,0.0933271837372207
3,0.0436134813326215,0.0778066477925463,0.0967090024396453,0.0714638534627964,0.0770758994847317,0.0497959108258637,0.0668973779590051,0.0788699768549191,0.0610751536410087,0.0679530889536187,0.0674607008618215,0.0710644902232901
4,0.0380428417542666,0.0842261860095055,0.0795172475384364,0.0795172475384364,0.0798946355807056,0.0381922433802064,0.07265616078661,0.0848601531598211,0.0722341522246378,0.0602611085323835,0.0765169554669921,0.0648394851874697
5,0.0464247884596516,0.0700205945941045,0.0680186382506815,0.0671206256950995,0.0699490882118532,0.0465193398967812,0.0633133458416919,0.0707940122325328,0.0631671198147181,0.0687240395657397,0.0642278452257104,0.0717730881004342
6,0.0408754340934001,0.0622109266394553,0.060844244933401,0.0600724689719867,0.061904571087903,0.040951884699267,0.0606404279659957,0.0632278085298196,0.0552773324921265,0.0472500454106094,0.0622374130604194,0.0679704737255575
7,0.0497772661389579,0.0561663925127103,0.0537190972590776,0.0623716966390466,0.0549619132744679,0.0498392055893896,0.0572432127190536,0.0550916894358173,0.0489989880761263,0.0410116002045017,0.0596692642220834,0.0593615734490184
8,0.0450055378244554,0.0495275798625369,0.055073656670117,0.0574766600769331,0.0565462773834315,0.0450596108196303,0.0566147322250318,0.0569036193729596,0.0482807225986877,0.0473166364523631,0.0565927776749409,0.0530191642341052
9,0.0476981518502005,0.0514107527624978,0.0505379964435678,0.0528410260540437,0.0504518931951234,0.0477271754321185,0.0523335507940626,0.0513136516728084,0.0442081720453977,0.0390610152981877,0.0577287201474988,0.0491406624715379
10,0.046465069705277,0.0470740939656055,0.0456347489978623,0.0480875133737896,0.0478894210840133,0.0464700019089084,0.0485390730294203,0.0469789179744949,0.0410160399559208,0.0434648778988756,0.0568935621852872,0.0476192257501658
11,0.0425515691078692,0.0429741652429595,0.0429152316504193,0.0437912462031391,0.0437049064790854,0.0425241113675166,0.0448239257523356,0.0440560763654858,0.0427365684136893,0.0430750229516969,0.0517989962434158,0.0442631245374937
12,0.0440290801313497,0.0398330490851387,0.0399131278870187,0.0416419005581637,0.042823727920153,0.0392647800655694,0.0443152113570347,0.041110621648018,0.0404392247542127,0.0333671556176974,0.0487031386632639,0.0418427610759888
13,0.0417910377145541,0.0379698413491111,0.0388174227035086,0.0391528159331183,0.0403603591807982,0.0408686404296363,0.0441872195975458,0.0380607611092177,0.0379078750487273,0.034894823577386,0.0462760416855613,0.0396584923289227
14,0.0397238915963468,0.036229142008586,0.0403120272418389,0.0378993951827184,0.0403603591807982,0.0389999174804586,0.0430041740003272,0.036314552378559,0.0394789938156037,0.0326079042928498,0.0438483257056792,0.0372272300911753
15,0.0372317655194106,0.0342676861521215,0.0379225606437848,0.0362053664685555,0.0372209536192275,0.0372553795090358,0.0410978328451718,0.0347349236889888,0.039680051456049,0.0355489910834227,0.04108387490971,0.0348480972318872
16,0.0367088146908235,0.0358209315198705,0.0357058854004694,0.0347035655232279,0.0372209536192275,0.0373858481573803,0.0394961501137354,0.0329891010684228,0.0378589487069568,0.0310184817298027,0.0395662390522375,0.0338042295665654
17,0.03554676689987,0.0344225090885353,0.0345704411779297,0.0329974409788325,0.0381189042479901,0.0361793505084883,0.0391183644979854,0.0344800253331065,0.0363231319928118,0.0333668629786073,0.0373311011626198,0.0345488423914369
18,0.0336860993226681,0.0335053652981793,0.0327472254457173,0.0312720974046318,0.0350071612828057,0.034516654246825,0.039434925864411,0.0326384004335712,0.0344364122205447,0.0258065683400276,0.0355367905995856,0.0334358852411242
19,0.0322433228876166,0.0318606733097501,0.0319173189128428,0.0297218337409542,0.0337637537439281,0.0331134901778498,0.0374220855835104,0.0310485871518296,0.0327004278708552,0.027932999117532,0.0355957392122915,0.0325730345528624
20,0.0309126232048687,0.0303364216945678,0.0308082624155379,0.0303408046976129,0.0317718794277906,0.0314834226743161,0.0357105376618241,0.0304805171299645,0.0319029813910474,0.0297263902331115,0.0341215524857112,0.0310438074659754
